name,type,id,level,play_cost,evolution_cost,evolution_color,evolution_level,xros_req,color,color2,digi_type,digi_type2,form,dp,attribute,rarity,stage,artist,main_effect,source_effect,alt_effect,series,pretty_url,date_added,tcgplayer_name,tcgplayer_id,set_name
MetalGreymon,Digimon,BO-01,,,,,,,Yellow,,Android,,,,Virus,Common,Ultimate,,,,,Digimon Digi-Battle Card Game,metalgreymon-bo-01,2024-05-27 15:14:30,,,['Series 1 Booster Pack']
Devimon,Digimon,BO-02,,,,,,,Yellow,,Evil,,,,Virus,Common,Champion,,,,,Digimon Digi-Battle Card Game,devimon-bo-02,2024-05-27 15:14:30,,,['Series 1 Booster Pack']
Leomon,Digimon,BO-03,,,,,,,Red,,Animal,,,,Vaccine,Common,Champion,,,,,Digimon Digi-Battle Card Game,leomon-bo-03,2024-05-27 15:14:30,,,['Series 1 Booster Pack']
Ogremon,Digimon,BO-04,,,,,,,Yellow,,Evil,,,,Virus,Common,Champion,,,,,Digimon Digi-Battle Card Game,ogremon-bo-04,2024-05-27 15:14:30,,,['Series 1 Booster Pack']
Meramon,Digimon,BO-05,,,,,,,Green,,Fire,,,,Data,Common,Champion,,,,,Digimon Digi-Battle Card Game,meramon-bo-05,2024-05-27 15:14:30,,,['Series 1 Booster Pack']
Seadramon,Digimon,BO-06,,,,,,,Green,,Sea Animal,,,,Data,Common,Champion,,,,,Digimon Digi-Battle Card Game,seadramon-bo-06,2024-05-27 15:14:30,,,['Series 1 Booster Pack']
Frigimon,Digimon,BO-07,,,,,,,Red,,Icy,,,,Vaccine,Common,Champion,,,,,Digimon Digi-Battle Card Game,frigimon-bo-07,2024-05-27 15:14:30,,,['Series 1 Booster Pack']
ShogunGekomon,Digimon,BO-08,,,,,,,Yellow,,Amphibian,,,,Virus,Common,Ultimate,,,,,Digimon Digi-Battle Card Game,shogungekomon-bo-08,2024-05-27 15:14:30,,,['Series 1 Booster Pack']
Shellmon,Digimon,BO-09,,,,,,,Green,,Sea Animal,,,,Data,Common,Champion,,,,,Digimon Digi-Battle Card Game,shellmon-bo-09,2024-05-27 15:14:30,,,['Series 1 Booster Pack']
Drimogemon,Digimon,BO-10,,,,,,,Green,,Animal,,,,Data,Common,Champion,,,,,Digimon Digi-Battle Card Game,drimogemon-bo-10,2024-05-27 15:14:30,,,['Series 1 Booster Pack']
